"Carimbo de data/hora","Qual seu curso?","Você está em qual semestre?","Quais pontos fracos você enxerga na FGA nos quais podem ser resolvidos com softwares ?","O que você sugere de melhoria para a FGA?"
"2022/10/27 12:59:17 PM GMT-3","Software","Sim","Sigaa",""
"2022/10/27 1:00:19 PM GMT-3","Software","Sétimo","Poucas turmas.","Mais turmas, um CA bom."
"2022/10/27 1:03:14 PM GMT-3","Software","10","não ter rinha de galo",""
"2022/10/27 5:25:03 PM GMT-3","Software","6","Verificar o saldo no RU ","Criar uma academia comunitária, pois as questões esportivas aqui são de lasca."
"2022/10/27 5:31:21 PM GMT-3","Eletrônica","7","Assertividade na comunicação. as vezes precisa saber de algo que uma pessoa fala algo, e outra pessoa fala algo diferente. ","Criar um bot que tire dúvidas de assuntos relacionados a secretaria, direção, coordenação, etc. Como os bots de whatsapp de banco."
"2022/10/27 5:38:02 PM GMT-3","Software","7°","Falta de vaga em turmas que poderiam ser ofertadas pelo menos de forma semipresencial ","Turmas remotas ou semipresencial "
"2022/10/27 5:38:04 PM GMT-3","Software","5","Poucas vagas para matérias de software 
Professores que não sabem o assunto que estão dando para seus alunos 
","Mais turmas "
"2022/10/27 5:39:46 PM GMT-3","Software","5°","Falta de vagas nas matérias ofertadas","Ampliar quantidade de vagas/turma ou aumentar a qualidade de turmas "
"2022/10/27 5:40:07 PM GMT-3","Software","10","Todos","Tudo"
"2022/10/27 5:40:24 PM GMT-3","Software","4","Pouca camaradagem entre os alunos ","Um tinder de amizade"
"2022/10/27 5:40:28 PM GMT-3","Software","7","Agendamento de salas para estudo","Ter salas de estudos/trabalhi para os estudantes "
"2022/10/27 5:46:26 PM GMT-3","Engenharias","2","Um mapa da fga bem específico com sala e talz",""
"2022/10/27 5:48:55 PM GMT-3","Software","4","Não ter um aplicativo próprio da FGA, no qual poderia facilitar o primeiro momento que o calouro tem com a faculdade, como também quando o veterano precisa saber se a matéria que não conseguiu começou a disponibilizar vagas.","Como dito acima, um bom aplicativo que forneça informações como grade personalizada pelo próprio estudante, o que inclui não só o horário das aulas, mas também aqueles momentos que ele possa usar para estudar. Outros pontos importantes ao meu ver seria talvez um mapa para justamente ajudar os alunos a identificarem onde fica x sala em y prédio, e caso queiram, o cardápio atualizado semanalmente. E por último, mostrar quais matérias abriram vagas em tempo real, acho que seria uma excelente ferramenta para ficar mais ""ligeiro"" na extraordinária."
"2022/10/27 5:49:33 PM GMT-3","Aeroespacial","4","Recarga do crédito do RU pelo celular.",""
"2022/10/27 5:50:02 PM GMT-3","Software","5","Segurança,RU, demanda de matrícula ","Algo que conecte melhor a equipe de segurança com os estudantes. App que possibilite cadastrar crédito p RU online e até agendamentos. "
"2022/10/27 6:01:53 PM GMT-3","Software","Sexto","Gerenciamento e pagamentos mais práticos dos créditos do RU;
Um site que contenha guias, FAQs e preenchimento de estágio direto;
Um site que contenha guias, FAQs e preenchimento de TCC direto;
Simplificação dos locais de ensino dos professores para uma melhor praticidade aos alunos e professores, por exemplo: transformar Moodle, Teams, SIGAA, google meet, etc. em uma local de ensino e encontro só.",""
"2022/10/27 6:04:13 PM GMT-3","Software","3","Falta de local para os alunos colocarem suas coisas em segurança, enquanto vão pras aulas. Pode ser feito um aplicativo para administração da distribuição e devolucao de armários para os alunos poderem guardar material durante as aulas. ","Colocação de armários para os alunos poderem guardar material durante as aulas. Os vãos existentes nas paredes das salas voltadas para o pátio do UAC parecem ter sido feitos para comportar esse tipo de armário, como nos filmes de ensino médio americanos."
"2022/10/27 6:11:22 PM GMT-3","Software","3","Melhoria do sistema de matrículas no SIGAA e fórum de eventos","Atualização do sistema do SIGAA e criação de versão mobile"
"2022/10/27 6:15:27 PM GMT-3","Software","5","Fazer um app onde avisar se tem Vaga para matricula extra ordinaria",""
"2022/10/27 6:26:18 PM GMT-3","Software","9","Matricula em materias ","Abrir mais vagas e mais turmas em materias de software "
"2022/10/27 6:30:13 PM GMT-3","Automotiva","4","Periodo de Matrículas com queda do sistema,fila do RU",""
"2022/10/27 6:50:41 PM GMT-3","Aeroespacial","segundo ","melhorar o aprender e o sigaa","Mais locais para estudo em grupo com tomadas para uso de computadores
"
"2022/10/27 6:56:46 PM GMT-3","Engenharias","Terceiro ","Avaliação dos professores ","Um C.A"
"2022/10/27 7:03:54 PM GMT-3","Aeroespacial","3","O Sistema do RU e da biblioteca ","Mais otimizações e automações em processos de identificação "
"2022/10/27 7:29:59 PM GMT-3","Aeroespacial","4°","Filas do RU/ pagamento do RU","Processos mais otimizados"
